GeneID	Function	Orthogroup
9906	LOC724642	Putative Immune	OG0001691
9907	LOC724643	Background	OG0003954
9908	LOC724644	Putative Immune	OG0007234
9909	LOC724645	Background	OG0006860
9910	LOC724646	Background	OG0005247
9911	LOC724647	Background	OG0002215
9912	LOC724648	Background	OG0002700
9913	LOC724651	Background	OG0007192
9914	LOC724652	Background	OG0007657
9915	LOC724653	Background	OG0001428
9916	LOC724654	Putative Immune	OG0008945
9917	LOC724655	Background	OG0000794
9918	LOC724656	Background	OG0003791
9919	LOC724658	Putative Immune	OG0004722
9920	LOC724659	Background	OG0006827
9921	LOC724660	Background	OG0006799
9922	LOC724663	Background	OG0007798
9923	LOC724664	Background	OG0008353
9924	LOC724665	Background	OG0002367
9925	LOC724666	Background	OG0001523
9926	LOC724669	Background	OG0002165
9927	LOC724670	Background	Unassigned
9928	LOC724672	Background	OG0001245
9929	LOC724673	Background	OG0000001
9930	LOC724676	Background	OG0003060
9931	LOC724678	Background	OG0000066
9932	LOC724679	Background	OG0009242
9933	LOC724680	Background	OG0003739
9934	LOC724681	Background	OG0001879
9935	LOC724683	Background	OG0003891
9936	LOC724685	Background	OG0008184
9937	LOC724686	Background	OG0007601
9938	LOC724687	Background	OG0000177
9939	LOC724688	Background	OG0008495
9940	LOC724690	Background	OG0005446
9941	LOC724692	Background	OG0007112
9942	LOC724695	Background	OG0001225
9943	LOC724698	Background	OG0005499
9944	LOC724700	Background	OG0005226
9945	LOC724701	Background	OG0001180
9946	LOC724703	Signalling	OG0000138
9947	LOC724704	Background	OG0003596
9948	LOC724705	Background	OG0009324
9949	LOC724706	Background	OG0003590
9950	LOC724708	Background	OG0007875
9951	LOC724710	Background	OG0005600
9952	LOC724712	Background	OG0004501
9953	LOC724715	Background	OG0005165
9954	LOC724716	Background	OG0006139
9955	LOC724717	Background	OG0008834
9956	LOC724718	Background	OG0001044
9957	LOC724719	Background	OG0002598
9958	LOC724720	Background	OG0001708
9959	LOC724721	Background	OG0000402
9960	LOC724724	Background	OG0005176
9961	LOC724727	Background	OG0004229
9962	LOC724728	Background	OG0008157
9963	LOC724731	Background	OG0000442
9964	LOC724732	Background	OG0002210
9965	LOC724733	Background	OG0006257
9966	LOC724734	Background	OG0007296
9967	LOC724735	Background	OG0007766
9968	LOC724736	Background	OG0005941
9969	LOC724737	Background	OG0007634
9970	LOC724738	Background	OG0006519
9971	LOC724739	Background	OG0003502
9972	LOC724740	Background	OG0005541
9973	LOC724741	Background	OG0006537
9974	LOC724742	Background	OG0005219
9975	LOC724743	Background	OG0007914
9976	LOC724744	Background	OG0003441
9977	LOC724745	Background	OG0000794
9978	LOC724747	Background	OG0001915
9979	LOC724749	Putative Immune	OG0006759
9980	LOC724750	Background	OG0007404
9981	LOC724752	Background	OG0002662
9982	LOC724756	Background	OG0008183
9983	LOC724757	Background	OG0000056
9984	LOC724760	Background	OG0002444
9985	LOC724761	Background	OG0003727
9986	LOC724762	Background	OG0008383
9987	LOC724763	Background	OG0008544
9988	LOC724765	Background	OG0009117
9989	LOC724767	Background	OG0007396
9990	LOC724768	Background	OG0003923
9991	LOC724769	Background	OG0008125
9992	LOC724770	Background	OG0004971
9993	LOC724772	Putative Immune	OG0002034
9994	LOC724773	Background	OG0006535
9995	LOC724775	Background	OG0002694
9996	LOC724776	Background	OG0001683
9997	LOC724778	Background	OG0005406
9998	LOC724779	Putative Immune	OG0007193
9999	LOC724780	Putative Immune	OG0001251
10000	LOC724781	Background	OG0008617
10001	LOC724783	Background	Unassigned
10002	LOC724784	Background	OG0001705
10003	LOC724785	Background	OG0006094
10004	LOC724786	Background	OG0003832
10005	LOC724787	Background	OG0001104
10006	LOC724789	Background	OG0001026
10007	LOC724790	Background	OG0003121
10008	LOC724791	Background	OG0008121
10009	LOC724792	Background	OG0006192
10010	LOC724793	Signalling	OG0004833
10011	LOC724794	Background	OG0007029
10012	LOC724795	Background	OG0000464
10013	LOC724796	Background	OG0001880
10014	LOC724798	Background	OG0008624
10015	LOC724799	Background	OG0003924
10016	LOC724801	Background	OG0004228
10017	LOC724802	Background	OG0005307
10018	LOC724803	Background	OG0000109
10019	LOC724804	Background	OG0001410
10020	LOC724806	Background	OG0000270
10021	LOC724807	Background	OG0007791
10022	LOC724808	Background	OG0001684
10023	LOC724809	Background	OG0001526
10024	LOC724810	Background	OG0005407
10025	LOC724811	Background	OG0003762
10026	LOC724816	Background	OG0003017
10027	LOC724817	Background	OG0009657
10028	LOC724819	Background	OG0001236
10029	LOC724822	Background	OG0003449
10030	LOC724823	Background	OG0003903
10031	LOC724825	Background	OG0010711
10032	LOC724826	Background	OG0003031
10033	LOC724827	Background	OG0008854
10034	LOC724829	Background	OG0001085
10035	LOC724830	Background	OG0004855
10036	LOC724831	Background	OG0008714
10037	LOC724832	Background	OG0001420
10038	LOC724835	Background	OG0004551
10039	LOC724838	Background	OG0000306
10040	LOC724842	Background	OG0006047
10041	LOC724843	Background	OG0002379
10042	LOC724846	Background	OG0009056
10043	LOC724847	Background	OG0000743
10044	LOC724850	Background	OG0002949
10045	LOC724851	Background	OG0001095
10046	LOC724852	Background	OG0007283
10047	LOC724853	Background	OG0002871
10048	LOC724855	Background	OG0007643
10049	LOC724856	Background	OG0000520
10050	LOC724859	Background	OG0001920
10051	LOC724860	Background	OG0008596
10052	LOC724861	Background	OG0008124
10053	LOC724862	Background	OG0000354
10054	LOC724863	Background	OG0006800
10055	LOC724864	Putative Immune	OG0001105
10056	LOC724865	Putative Immune	OG0000602
10057	LOC724867	Background	OG0002229
10058	LOC724868	Background	OG0003383
10059	LOC724869	Background	OG0000047
10060	LOC724870	Background	OG0001908
10061	LOC724872	Background	OG0007881
10062	LOC724873	Signalling	OG0008038
10063	LOC724874	Putative Immune	OG0009624
10064	LOC724875	Background	OG0008008
10065	LOC724876	Background	OG0001480
10066	LOC724877	Background	OG0006056
10067	LOC724878	Background	OG0009085
10068	LOC724879	Background	OG0002773
10069	LOC724885	Putative Immune	OG0004495
10070	LOC724886	Background	OG0003763
10071	LOC724888	Background	OG0004816
10072	LOC724889	Background	OG0009389
10073	LOC724890	Background	OG0004188
10074	LOC724891	Background	OG0001745
10075	LOC724892	Background	Unassigned
10076	LOC724893	Background	OG0007692
10077	LOC724895	Background	OG0009877
10078	LOC724896	Background	OG0006434
10079	LOC724899	Effector	OG0002761
10080	LOC724900	Background	OG0010265
10081	LOC724901	Background	OG0003883
10082	LOC724903	Background	OG0008812
10083	LOC724904	Background	OG0006194
10084	LOC724907	Putative Immune	OG0000916
10085	LOC724908	Background	OG0004146
10086	LOC724909	Background	OG0000303
10087	LOC724911	Background	OG0000017
10088	LOC724912	Background	OG0005495
10089	LOC724913	Background	Unassigned
10090	LOC724914	Background	OG0005123
10091	LOC724915	Background	OG0004692
10092	LOC724916	Background	OG0009665
10093	LOC724917	Signalling	OG0005223
10094	LOC724919	Background	OG0000516
10095	LOC724920	Background	OG0004389
10096	LOC724921	Background	OG0008770
10097	LOC724922	Background	OG0000755
10098	LOC724923	Background	OG0001298
10099	LOC724924	Background	OG0007131
10100	LOC724925	Background	OG0001199
10101	LOC724926	Background	OG0004315
10102	LOC724927	Background	OG0003518
10103	LOC724928	Background	OG0003009
10104	LOC724929	Background	OG0003776
10105	LOC724930	Signalling	OG0000607
10106	LOC724931	Background	OG0008358
10107	LOC724932	Background	OG0004516
10108	LOC724933	Background	OG0000373
10109	LOC724934	Background	OG0006975
10110	LOC724935	Background	OG0003824
10111	LOC724936	Background	OG0007090
10112	LOC724937	Background	OG0005191
10113	LOC724942	Background	OG0007934
10114	LOC724943	Background	OG0008436
10115	LOC724946	Background	OG0000144
10116	LOC724947	Background	OG0005416
10117	LOC724948	Background	OG0000846
10118	LOC724950	Recognition	OG0003722
10119	LOC724951	Putative Immune	OG0000916
10120	LOC724952	Background	OG0007603
10121	LOC724953	Background	OG0004710
10122	LOC724954	Background	OG0004925
10123	LOC724955	Background	OG0004575
10124	LOC724959	Background	OG0001335
10125	LOC724961	Background	OG0006861
10126	LOC724962	Background	OG0000805
10127	LOC724965	Background	OG0002578
10128	LOC724969	Background	OG0001597
10129	LOC724971	Background	OG0000994
10130	LOC724973	Background	OG0006422
10131	LOC724974	Background	OG0005539
10132	LOC724976	Background	OG0005837
10133	LOC724977	Background	OG0001940
10134	LOC724979	Background	OG0003227
10135	LOC724982	Background	OG0010807
10136	LOC724983	Background	OG0004375
10137	LOC724985	Background	OG0001991
10138	LOC724986	Background	OG0002942
10139	LOC724988	Background	OG0009028
10140	LOC724991	Background	OG0002426
10141	LOC724992	Background	OG0004327
10142	LOC724993	Putative Immune	OG0000214
10143	LOC724994	Background	OG0001560
10144	LOC724995	Background	OG0000916
10145	LOC724996	Background	OG0002262
10146	LOC724997	Background	OG0005848
10147	LOC724998	Background	OG0009121
10148	LOC724999	Background	OG0008035
10149	LOC725003	Background	OG0002782
10150	LOC725005	Background	OG0010116
10151	LOC725007	Background	OG0005565
10152	LOC725008	Background	OG0008354
10153	LOC725009	Background	OG0002360
10154	LOC725011	Background	OG0008048
10155	LOC725012	Background	OG0005452
10156	LOC725013	Background	OG0002630
10157	LOC725015	Background	OG0003385
10158	LOC725017	Putative Immune	OG0000082
10159	LOC725018	Background	OG0006758
10160	LOC725019	Background	OG0005522
10161	LOC725020	Background	OG0004515
10162	LOC725021	Background	OG0008954
10163	LOC725023	Background	OG0004698
10164	LOC725024	Signalling	OG0007109
10165	LOC725025	Background	OG0008772
10166	LOC725026	Putative Immune	OG0005927
10167	LOC725028	Background	OG0008240
10168	LOC725031	Background	OG0000179
10169	LOC725033	Background	OG0004871
10170	LOC725036	Background	OG0004390
10171	LOC725037	Background	OG0000039
10172	LOC725038	Recognition	OG0004316
10173	LOC725039	Background	OG0003996
10174	LOC725040	Background	OG0001178
10175	LOC725041	Recognition	OG0007354
10176	LOC725042	Background	OG0008382
10177	LOC725044	Background	OG0005076
10178	LOC725045	Background	OG0006430
10179	LOC725046	Background	OG0003127
10180	LOC725047	Background	OG0007653
10181	LOC725048	Background	OG0000567
10182	LOC725049	Background	OG0008164
10183	LOC725050	Background	OG0005560
10184	LOC725051	Background	OG0000013
10185	LOC725052	Background	OG0000017
10186	LOC725053	Background	OG0002783
10187	LOC725054	Background	OG0008412
10188	LOC725055	Background	OG0007841
10189	LOC725056	Background	OG0008477
10190	LOC725057	Background	OG0001190
10191	LOC725058	Background	OG0006607
10192	LOC725059	Background	OG0000665
10193	LOC725060	Background	OG0008492
10194	LOC725061	Background	OG0003820
10195	LOC725062	Background	OG0006230
10196	LOC725064	Background	OG0008885
10197	LOC725065	Background	OG0008359
10198	LOC725067	Background	OG0001974
10199	LOC725068	Signalling	OG0005569
10200	LOC725069	Background	OG0005733
10201	LOC725070	Background	OG0001137
10202	LOC725074	Background	OG0005218
10203	LOC725076	Background	OG0005180
10204	LOC725078	Background	OG0005619
10205	LOC725079	Background	OG0005268
10206	LOC725081	Background	OG0001201
10207	LOC725082	Background	OG0004195
10208	LOC725084	Background	OG0002141
10209	LOC725085	Putative Immune	OG0005966
10210	LOC725086	Background	OG0008817
10211	LOC725087	Background	OG0000144
10212	LOC725088	Signalling	OG0003168
10213	LOC725089	Background	OG0008015
10214	LOC725091	Background	OG0003412
10215	LOC725092	Background	OG0002375
10216	LOC725093	Background	OG0000345
10217	LOC725097	Background	OG0003074
10218	LOC725098	Background	OG0002313
10219	LOC725099	Background	OG0004760
10220	LOC725101	Background	OG0009026
10221	LOC725102	Background	OG0007843
10222	LOC725105	Background	OG0001618
10223	LOC725106	Putative Immune	OG0006719
10224	LOC725107	Background	OG0003126
10225	LOC725108	Background	OG0007629
10226	LOC725111	Effector	OG0002784
10227	LOC725114	Background	OG0009878
10228	LOC725115	Background	OG0006152
10229	LOC725117	Background	Unassigned
10230	LOC725118	Background	OG0005114
10231	LOC725119	Background	OG0001620
10232	LOC725122	Background	OG0003869
10233	LOC725123	Background	OG0009649
10234	LOC725125	Background	OG0006502
10235	LOC725127	Background	OG0007129
10236	LOC725128	Background	OG0008442
10237	LOC725130	Background	OG0001053
10238	LOC725131	Background	OG0003629
10239	LOC725134	Background	OG0005078
10240	LOC725135	Background	OG0001930
10241	LOC725136	Background	OG0001202
10242	LOC725138	Background	OG0008734
10243	LOC725142	Background	OG0002009
10244	LOC725143	Background	OG0008344
10245	LOC725144	Background	OG0001785
10246	LOC725146	Background	OG0003351
10247	LOC725147	Background	OG0005538
10248	LOC725148	Background	OG0008180
10249	LOC725149	Background	OG0004917
10250	LOC725150	Background	OG0000332
10251	LOC725151	Background	OG0001449
10252	LOC725154	Signalling	OG0009345
10253	LOC725155	Background	OG0002169
10254	LOC725156	Background	OG0001443
10255	LOC725157	Background	OG0004262
10256	LOC725158	Recognition	OG0001412
10257	LOC725159	Background	OG0000144
10258	LOC725164	Background	OG0008459
10259	LOC725165	Putative Immune	OG0007235
10260	LOC725167	Background	OG0000888
10261	LOC725169	Effector	OG0000579
10262	LOC725170	Background	OG0007431
10263	LOC725171	Background	OG0003504
10264	LOC725173	Background	OG0001336
10265	LOC725174	Background	OG0006669
10266	LOC725175	Putative Immune	OG0010267
10267	LOC725178	Background	OG0003084
10268	LOC725179	Background	OG0007080
10269	LOC725183	Background	OG0009027
10270	LOC725184	Signalling	OG0007042
10271	LOC725186	Background	OG0005854
10272	LOC725187	Background	OG0001278
10273	LOC725189	Background	OG0002154
10274	LOC725190	Putative Immune	OG0003171
10275	LOC725191	Background	OG0007373
10276	LOC725192	Background	OG0004071
10277	LOC725193	Background	OG0002583
10278	LOC725194	Background	OG0007598
10279	LOC725196	Background	OG0005019
10280	LOC725197	Background	OG0005597
10281	LOC725200	Background	OG0005881
10282	LOC725201	Background	OG0003416
10283	LOC725202	Putative Immune	OG0000087
10284	LOC725204	Background	OG0005564
10285	LOC725205	Background	OG0001082
10286	LOC725207	Background	OG0006474
10287	LOC725208	Background	OG0004851
10288	LOC725209	Background	OG0009099
10289	LOC725210	Background	OG0005216
10290	LOC725211	Background	OG0000817
10291	LOC725212	Background	OG0007432
10292	LOC725215	Background	OG0009346
10293	LOC725216	Background	OG0002562
10294	LOC725217	Background	Unassigned
10295	LOC725218	Background	OG0001698
10296	LOC725219	Background	OG0002769
10297	LOC725220	Background	OG0003241
10298	LOC725224	Background	OG0005930
10299	LOC725225	Putative Immune	OG0009029
10300	LOC725227	Background	OG0008546
10301	LOC725230	Background	OG0000056
10302	LOC725233	Background	OG0010701
10303	LOC725234	Background	OG0005001
10304	LOC725237	Effector	OG0002063
10305	LOC725238	Putative Immune	OG0000153
10306	LOC725239	Background	OG0005277
10307	LOC725240	Background	OG0009030
10308	LOC725241	Background	OG0005328
10309	LOC725243	Background	OG0007597
10310	LOC725244	Background	OG0005890
10311	LOC725245	Background	OG0004873
10312	LOC725246	Background	OG0002212
10313	LOC725247	Background	OG0002977
10314	LOC725248	Background	OG0003553
10315	LOC725250	Putative Immune	OG0000415
10316	LOC725251	Background	OG0003453
10317	LOC725252	Background	OG0000903
10318	LOC725253	Background	OG0007838
10319	LOC725254	Background	OG0004830
10320	LOC725255	Background	OG0002283
10321	LOC725258	Background	OG0001719
10322	LOC725260	Background	OG0007701
10323	LOC725261	Background	OG0006820
10324	LOC725263	Signalling	OG0008547
10325	LOC725264	Background	OG0007094
10326	LOC725266	Background	OG0007050
10327	LOC725267	Background	OG0006807
10328	LOC725268	Background	OG0005491
10329	LOC725269	Background	OG0006353
10330	LOC725270	Background	OG0000944
10331	LOC725272	Background	OG0000038
10332	LOC725273	Effector	OG0003683
10333	LOC725274	Background	OG0001008
10334	LOC725279	Background	OG0009621
10335	LOC725281	Background	OG0006219
10336	LOC725283	Background	OG0003684
10337	LOC725284	Background	OG0000375
10338	LOC725286	Background	OG0006987
10339	LOC725287	Background	OG0007006
10340	LOC725288	Background	OG0000721
10341	LOC725289	Background	OG0003709
10342	LOC725290	Background	OG0001142
10343	LOC725291	Background	OG0005664
10344	LOC725294	Background	OG0002734
10345	LOC725295	Background	OG0006634
10346	LOC725298	Background	OG0003090
10347	LOC725299	Background	OG0008445
10348	LOC725301	Background	OG0003731
10349	LOC725302	Background	OG0007737
10350	LOC725303	Background	OG0004674
10351	LOC725305	Background	Unassigned
10352	LOC725306	Background	OG0007377
10353	LOC725308	Background	OG0000066
10354	LOC725309	Putative Immune	OG0010245
10355	LOC725310	Background	OG0007040
10356	LOC725311	Background	OG0001354
10357	LOC725312	Background	OG0004431
10358	LOC725315	Background	OG0005309
10359	LOC725316	Background	OG0004798
10360	LOC725317	Background	OG0003705
10361	LOC725318	Background	OG0007248
10362	LOC725320	Background	OG0000808
10363	LOC725323	Background	OG0004669
10364	LOC725324	Background	OG0007905
10365	LOC725325	Background	OG0005451
10366	LOC725326	Background	OG0002376
10367	LOC725327	Background	OG0004826
10368	LOC725328	Background	OG0003022
10369	LOC725329	Background	OG0000734
10370	LOC725330	Background	OG0003584
10371	LOC725331	Background	OG0004709
10372	LOC725332	Background	OG0005084
10373	LOC725334	Background	OG0001504
10374	LOC725335	Putative Immune	OG0004438
10375	LOC725336	Background	OG0001469
10376	LOC725337	Background	OG0007786
10377	LOC725341	Background	OG0000806
10378	LOC725343	Background	OG0007357
10379	LOC725344	Background	OG0000047
10380	LOC725345	Background	OG0006243
10381	LOC725346	Background	OG0000051
10382	LOC725348	Background	OG0007537
10383	LOC725350	Background	OG0008195
10384	LOC725351	Background	OG0007784
10385	LOC725352	Background	OG0007751
10386	LOC725353	Background	OG0005962
10387	LOC725354	Background	OG0003560
10388	LOC725357	Background	OG0001423
10389	LOC725358	Background	OG0003304
10390	LOC725359	Background	OG0009372
10391	LOC725360	Background	OG0006507
10392	LOC725361	Background	OG0006002
10393	LOC725362	Background	OG0003099
10394	LOC725363	Background	OG0007473
10395	LOC725364	Background	OG0006067
10396	LOC725365	Background	OG0007807
10397	LOC725366	Putative Immune	OG0008154
10398	LOC725368	Signalling	OG0008220
10399	LOC725370	Background	OG0006282
10400	LOC725372	Background	OG0008248
10401	LOC725374	Signalling	OG0002253
10402	LOC725376	Background	OG0002988
10403	LOC725378	Background	OG0006947
10404	LOC725379	Background	OG0003968
10405	LOC725380	Background	OG0000087
10406	LOC725381	Background	OG0010872
10407	LOC725383	Background	OG0007683
10408	LOC725386	Background	OG0009330
10409	LOC725387	Background	OG0001899
10410	LOC725388	Signalling	OG0004015
10411	LOC725389	Putative Immune	OG0006140
10412	LOC725390	Background	OG0008214
10413	LOC725391	Background	OG0000709
10414	LOC725393	Background	OG0005355
10415	LOC725394	Background	OG0000232
10416	LOC725395	Background	OG0001175
10417	LOC725396	Background	OG0002295
10418	LOC725397	Background	OG0006685
10419	LOC725400	Background	OG0003895
10420	LOC725401	Background	OG0003765
10421	LOC725404	Signalling	OG0000034
10422	LOC725405	Background	OG0002638
10423	LOC725406	Background	OG0008892
10424	LOC725407	Background	OG0005942
10425	LOC725408	Background	OG0005330
10426	LOC725409	Background	OG0007420
10427	LOC725414	Background	OG0000038
10428	LOC725415	Background	OG0002080
10429	LOC725416	Background	OG0001966
10430	LOC725417	Background	OG0008942
10431	LOC725418	Background	OG0000578
10432	LOC725419	Background	OG0004371
10433	LOC725420	Background	OG0000051
10434	LOC725421	Background	OG0005581
10435	LOC725422	Background	OG0006146
10436	LOC725424	Background	OG0008085
10437	LOC725426	Background	OG0008697
10438	LOC725427	Background	OG0008914
10439	LOC725429	Background	OG0000737
10440	LOC725432	Background	OG0005409
10441	LOC725434	Background	OG0008548
10442	LOC725435	Background	OG0006385
10443	LOC725436	Background	OG0003050
10444	LOC725438	Background	OG0001360
10445	LOC725439	Background	OG0002042
10446	LOC725441	Background	OG0003322
10447	LOC725444	Background	OG0004267
10448	LOC725450	Background	OG0000066
10449	LOC725452	Background	OG0001117
10450	LOC725453	Background	OG0001359
10451	LOC725455	Background	OG0008634
10452	LOC725456	Background	OG0000051
10453	LOC725457	Background	OG0000436
10454	LOC725458	Background	OG0008378
10455	LOC725459	Background	OG0007246
10456	LOC725460	Background	OG0001877
10457	LOC725461	Background	OG0006391
10458	LOC725462	Background	OG0006846
10459	LOC725465	Background	OG0000728
10460	LOC725467	Background	OG0002831
10461	LOC725468	Background	OG0008338
10462	LOC725469	Background	OG0000237
10463	LOC725470	Background	OG0008574
10464	LOC725473	Background	OG0003387
10465	LOC725474	Background	OG0006660
10466	LOC725475	Background	OG0002671
10467	LOC725477	Background	Unassigned
10468	LOC725478	Background	OG0008117
10469	LOC725479	Background	OG0000270
10470	LOC725480	Background	OG0008010
10471	LOC725481	Background	OG0001588
10472	LOC725482	Background	OG0005353
10473	LOC725483	Background	OG0008600
10474	LOC725485	Background	OG0008762
10475	LOC725486	Background	OG0007142
10476	LOC725489	Background	OG0001943
10477	LOC725491	Background	OG0007436
10478	LOC725492	Background	OG0006937
10479	LOC725494	Background	OG0008549
10480	LOC725495	Background	OG0005244
10481	LOC725496	Background	OG0004035
10482	LOC725498	Putative Immune	OG0001148
10483	LOC725500	Background	OG0006841
10484	LOC725501	Background	OG0005334
10485	LOC725502	Background	OG0001101
10486	LOC725503	Background	OG0005909
10487	LOC725504	Background	OG0003631
10488	LOC725505	Background	OG0006599
10489	LOC725506	Background	OG0000822
10490	LOC725510	Background	OG0000563
10491	LOC725511	Background	Unassigned
10492	LOC725512	Signalling	OG0002818
10493	LOC725513	Background	OG0009371
10494	LOC725515	Background	OG0005512
10495	LOC725516	Background	OG0003583
10496	LOC725518	Background	OG0001324
10497	LOC725523	Background	OG0001964
10498	LOC725524	Background	OG0008167
10499	LOC725527	Background	OG0002405
10500	LOC725528	Background	OG0004052
10501	LOC725529	Background	OG0003221
10502	LOC725530	Background	OG0002550
10503	LOC725532	Background	OG0007282
10504	LOC725536	Background	OG0001435
10505	LOC725538	Background	OG0007390
10506	LOC725539	Background	OG0003452
10507	LOC725540	Background	OG0004930
10508	LOC725541	Background	OG0003742
10509	LOC725542	Background	OG0009064
10510	LOC725543	Background	OG0004877
10511	LOC725546	Background	Unassigned
10512	LOC725547	Background	OG0002172
10513	LOC725548	Background	OG0006508
10514	LOC725550	Background	OG0001458
10515	LOC725551	Signalling	OG0007566
10516	LOC725552	Background	OG0002647
10517	LOC725555	Background	OG0006780
10518	LOC725556	Background	Unassigned
10519	LOC725557	Background	OG0000248
10520	LOC725558	Background	OG0005288
10521	LOC725562	Background	OG0003106
10522	LOC725563	Background	OG0002150
10523	LOC725565	Background	OG0007923
10524	LOC725566	Background	OG0001534
10525	LOC725568	Background	OG0003212
10526	LOC725569	Background	OG0006928
10527	LOC725570	Background	OG0003789
10528	LOC725571	Signalling	OG0004620
10529	LOC725572	Background	OG0007187
10530	LOC725573	Background	OG0008924
10531	LOC725574	Background	OG0002934
10532	LOC725575	Background	OG0000494
10533	LOC725576	Background	OG0004761
10534	LOC725577	Background	OG0005536
10535	LOC725578	Background	OG0000724
10536	LOC725579	Background	OG0001363
10537	LOC725580	Background	OG0007933
10538	LOC725581	Background	OG0004786
10539	LOC725583	Background	OG0004657
10540	LOC725584	Background	OG0005905
10541	LOC725586	Background	OG0000467
10542	LOC725587	Background	OG0007991
10543	LOC725588	Background	OG0005271
10544	LOC725589	Background	OG0003365
10545	LOC725590	Background	OG0006875
10546	LOC725591	Background	OG0006028
10547	LOC725592	Background	OG0001916
10548	LOC725593	Background	OG0000270
10549	LOC725594	Background	OG0005511
10550	LOC725595	Background	OG0005375
10551	LOC725596	Background	OG0005188
10552	LOC725598	Background	OG0006979
10553	LOC725599	Background	OG0002522
10554	LOC725603	Background	OG0008204
10555	LOC725606	Background	OG0000391
10556	LOC725607	Background	OG0000494
10557	LOC725609	Background	OG0007513
10558	LOC725611	Background	OG0002796
10559	LOC725612	Background	OG0003463
10560	LOC725613	Background	OG0007872
10561	LOC725614	Background	OG0005170
10562	LOC725615	Background	OG0005312
10563	LOC725616	Background	OG0008589
10564	LOC725617	Background	OG0000887
10565	LOC725618	Background	OG0005961
10566	LOC725619	Background	OG0007013
10567	LOC725620	Background	OG0007851
10568	LOC725621	Background	OG0000009
10569	LOC725622	Background	OG0000422
10570	LOC725623	Background	OG0006608
10571	LOC725625	Background	OG0005253
10572	LOC725626	Background	OG0003370
10573	LOC725627	Background	OG0002434
10574	LOC725628	Background	Unassigned
10575	LOC725629	Background	OG0003521
10576	LOC725630	Background	OG0003785
10577	LOC725632	Background	OG0006779
10578	LOC725633	Background	OG0003358
10579	LOC725634	Background	OG0001056
10580	LOC725638	Background	OG0003882
10581	LOC725641	Background	OG0002157
10582	LOC725642	Background	OG0005895
10583	LOC725645	Background	OG0002645
10584	LOC725646	Background	OG0001650
10585	LOC725647	Background	OG0000058
10586	LOC725649	Background	OG0004355
10587	LOC725651	Background	OG0007745
10588	LOC725653	Background	OG0001353
10589	LOC725654	Background	OG0004921
10590	LOC725656	Background	OG0006792
10591	LOC725659	Background	OG0006718
10592	LOC725660	Background	OG0001859
10593	LOC725661	Signalling	OG0002699
10594	LOC725662	Background	OG0007150
10595	LOC725664	Background	OG0007569
10596	LOC725665	Background	OG0004838
10597	LOC725668	Background	OG0001433
10598	LOC725669	Background	OG0003407
10599	LOC725670	Putative Immune	OG0007682
10600	LOC725671	Background	OG0003253
10601	LOC725673	Background	OG0000580
10602	LOC725675	Background	OG0003136
10603	LOC725678	Background	OG0002669
10604	LOC725679	Background	OG0007987
10605	LOC725680	Background	OG0000943
10606	LOC725681	Background	OG0004144
10607	LOC725682	Background	OG0003072
10608	LOC725683	Background	OG0001289
10609	LOC725684	Background	OG0004544
10610	LOC725685	Background	OG0005781
10611	LOC725686	Background	OG0004922
10612	LOC725687	Background	OG0002254
10613	LOC725688	Background	OG0007236
10614	LOC725689	Background	OG0004093
10615	LOC725690	Background	OG0002606
10616	LOC725696	Background	OG0003338
10617	LOC725697	Background	OG0001391
10618	LOC725698	Background	OG0006868
10619	LOC725699	Background	OG0002540
10620	LOC725700	Background	OG0006030
10621	LOC725701	Background	OG0004823
10622	LOC725703	Background	OG0006495
10623	LOC725704	Background	OG0005676
10624	LOC725705	Background	OG0008084
10625	LOC725706	Background	OG0006342
10626	LOC725707	Background	OG0000981
10627	LOC725708	Background	OG0008033
10628	LOC725710	Background	OG0002993
10629	LOC725711	Background	OG0005990
10630	LOC725712	Background	OG0004750
10631	LOC725717	Background	OG0000782
10632	LOC725718	Background	OG0003401
10633	LOC725719	Background	OG0007116
10634	LOC725720	Background	OG0007124
10635	LOC725724	Background	OG0000465
10636	LOC725725	Putative Immune	OG0000065
10637	LOC725727	Background	OG0003842
10638	LOC725729	Background	OG0003603
10639	LOC725732	Background	OG0000590
10640	LOC725733	Background	OG0005675
10641	LOC725734	Background	OG0002624
10642	LOC725736	Background	OG0000882
10643	LOC725740	Background	OG0001981
10644	LOC725742	Background	OG0009344
10645	LOC725743	Background	OG0006212
10646	LOC725744	Background	OG0005402
10647	LOC725745	Background	OG0007125
10648	LOC725746	Background	OG0009057
10649	LOC725747	Background	OG0004324
10650	LOC725748	Background	OG0005243
10651	LOC725749	Background	OG0004923
10652	LOC725750	Background	OG0003843
10653	LOC725753	Background	OG0009040
10654	LOC725754	Background	OG0005690
10655	LOC725755	Background	OG0004352
10656	LOC725756	Background	OG0000977
10657	LOC725757	Background	OG0005252
10658	LOC725758	Background	OG0003336
10659	LOC725760	Background	OG0003813
10660	LOC725761	Background	OG0006221
10661	LOC725762	Background	OG0008550
10662	LOC725764	Background	OG0003109
10663	LOC725765	Background	OG0003837
10664	LOC725766	Signalling	OG0000699
10665	LOC725770	Signalling	OG0006024
10666	LOC725774	Background	OG0008879
10667	LOC725775	Background	OG0005993
10668	LOC725776	Background	OG0004270
10669	LOC725780	Background	OG0001448
10670	LOC725781	Background	OG0004482
10671	LOC725782	Background	OG0004476
