NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_048412123.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X4, mRNA
XM_048412124.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X5, mRNA
XM_048412125.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X6, mRNA
XM_048412126.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X7, mRNA
XM_048412127.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X8, mRNA
XM_048412128.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X9, mRNA
XM_048412129.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X10, mRNA
XM_048412130.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X11, mRNA
XM_048412131.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X12, mRNA
XM_048412132.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X13, mRNA
XM_048412133.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X14, mRNA
XM_048412134.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X15, mRNA
XM_048412135.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X16, mRNA
XM_048412136.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X17, mRNA
XM_048412137.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X18, mRNA
XM_048412138.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X19, mRNA
XM_048412139.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X20, mRNA
XM_048412140.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X21, mRNA
XM_048412141.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X22, mRNA
XM_048412142.1	PREDICTED: Bombus terrestris zinc finger protein 853 (LOC100646754), transcript variant X23, mRNA
XM_048412143.1	PREDICTED: Bombus terrestris guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (LOC100642300), transcript variant X3, mRNA
XM_048412144.1	PREDICTED: Bombus terrestris furin-like protease 1 (LOC100650142), transcript variant X3, mRNA
XM_048412145.1	PREDICTED: Bombus terrestris dynein axonemal intermediate chain 2-like (LOC125386334), mRNA
XM_048412146.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase SETMAR-like (LOC125386335), mRNA
XM_048412147.1	PREDICTED: Bombus terrestris dynein axonemal intermediate chain 2 (LOC110119634), mRNA
XM_048412148.1	PREDICTED: Bombus terrestris AF4/FMR2 family member lilli (LOC100648085), transcript variant X5, mRNA
XM_048412149.1	PREDICTED: Bombus terrestris KICSTOR complex protein SZT2 (LOC100650586), transcript variant X2, mRNA
XM_048412150.1	PREDICTED: Bombus terrestris uncharacterized protein C9orf85 homolog (LOC100650709), transcript variant X1, mRNA
XM_048412151.1	PREDICTED: Bombus terrestris neuronal acetylcholine receptor subunit alpha-7 (LOC100649796), transcript variant X3, mRNA
XM_048412152.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X1, mRNA
XM_048412153.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X2, mRNA
XM_048412154.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X3, mRNA
XM_048412155.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X4, mRNA
XM_048412156.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X6, mRNA
XM_048412157.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X7, mRNA
XM_048412158.1	PREDICTED: Bombus terrestris transmembrane protein 94 (LOC100649898), transcript variant X8, mRNA
XM_048412159.1	PREDICTED: Bombus terrestris GPI ethanolamine phosphate transferase 2 (LOC100645100), transcript variant X3, mRNA
XM_048412160.1	PREDICTED: Bombus terrestris caveolae-associated protein 4-like (LOC125386337), mRNA
XM_048412161.1	PREDICTED: Bombus terrestris dynein light chain Tctex-type 5-like (LOC105666504), mRNA
XM_048412162.1	PREDICTED: Bombus terrestris histone acetyltransferase KAT6B (LOC100648535), transcript variant X1, mRNA
XM_048412163.1	PREDICTED: Bombus terrestris histone acetyltransferase KAT6B (LOC100648535), transcript variant X2, mRNA
XM_048412164.1	PREDICTED: Bombus terrestris histone acetyltransferase KAT6B (LOC100648535), transcript variant X3, mRNA
XM_048412165.1	PREDICTED: Bombus terrestris histone acetyltransferase KAT6B (LOC100648535), transcript variant X4, mRNA
XM_048412166.1	PREDICTED: Bombus terrestris uncharacterized LOC100646755 (LOC100646755), transcript variant X2, mRNA
XM_048412167.1	PREDICTED: Bombus terrestris serine/threonine-protein kinase/endoribonuclease IRE1 (LOC100647594), transcript variant X2, mRNA
XM_048412168.1	PREDICTED: Bombus terrestris isoleucine--tRNA ligase, mitochondrial (LOC100644500), transcript variant X2, mRNA
XM_048412169.1	PREDICTED: Bombus terrestris forkhead box protein K1 (LOC100646635), transcript variant X1, mRNA
XM_048412170.1	PREDICTED: Bombus terrestris germ cell nuclear acidic protein (LOC100649440), transcript variant X1, mRNA
XM_048412171.1	PREDICTED: Bombus terrestris RNA-binding protein lark (LOC100648185), transcript variant X1, mRNA
XM_048412172.1	PREDICTED: Bombus terrestris RNA-binding protein lark (LOC100648185), transcript variant X5, mRNA
XM_048412173.1	PREDICTED: Bombus terrestris RNA-binding protein lark (LOC100648185), transcript variant X6, mRNA
XM_048412174.1	PREDICTED: Bombus terrestris RNA-binding protein lark (LOC100648185), transcript variant X7, mRNA
XM_048412175.1	PREDICTED: Bombus terrestris adenosine kinase 1 (LOC100648416), transcript variant X1, mRNA
XM_048412176.1	PREDICTED: Bombus terrestris uncharacterized LOC100648967 (LOC100648967), transcript variant X1, mRNA
XM_048412177.1	PREDICTED: Bombus terrestris uncharacterized LOC105666510 (LOC105666510), transcript variant X2, mRNA
XM_048412178.1	PREDICTED: Bombus terrestris uncharacterized LOC105666510 (LOC105666510), transcript variant X3, mRNA
XM_048412179.1	PREDICTED: Bombus terrestris uncharacterized LOC100648967 (LOC100648967), transcript variant X3, mRNA
XM_048412180.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase TRIM71 (LOC100644146), transcript variant X1, mRNA
XM_048412181.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase TRIM71 (LOC100644146), transcript variant X2, mRNA
XM_048412182.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase TRIM71 (LOC100644146), transcript variant X3, mRNA
XM_048412183.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase TRIM71 (LOC100644146), transcript variant X4, mRNA
XM_048412184.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase TRIM71 (LOC100644146), transcript variant X5, mRNA
XM_048412185.1	PREDICTED: Bombus terrestris uncharacterized LOC100643057 (LOC100643057), transcript variant X2, mRNA
XM_048412186.1	PREDICTED: Bombus terrestris inactive dipeptidyl peptidase 10 (LOC100642817), transcript variant X1, mRNA
XM_048412187.1	PREDICTED: Bombus terrestris inactive dipeptidyl peptidase 10 (LOC100642817), transcript variant X2, mRNA
XM_048412188.1	PREDICTED: Bombus terrestris inactive dipeptidyl peptidase 10 (LOC100642817), transcript variant X4, mRNA
XM_048412189.1	PREDICTED: Bombus terrestris inactive dipeptidyl peptidase 10 (LOC100642817), transcript variant X8, mRNA
XM_048412190.1	PREDICTED: Bombus terrestris uncharacterized LOC100644034 (LOC100644034), mRNA
XM_048412191.1	PREDICTED: Bombus terrestris uncharacterized LOC105666448 (LOC105666448), mRNA
XM_048412192.1	PREDICTED: Bombus terrestris uncharacterized LOC105666450 (LOC105666450), mRNA
XM_048412193.1	PREDICTED: Bombus terrestris RING finger protein unkempt (LOC100650786), transcript variant X5, mRNA
XM_048412194.1	PREDICTED: Bombus terrestris tubulin monoglutamylase TTLL4 (LOC100647821), transcript variant X1, mRNA
XM_048412195.1	PREDICTED: Bombus terrestris tubulin monoglutamylase TTLL4 (LOC100647821), transcript variant X9, mRNA
XM_048412196.1	PREDICTED: Bombus terrestris tubulin monoglutamylase TTLL4-like (LOC100647942), mRNA
XM_048412197.1	PREDICTED: Bombus terrestris zinc finger protein ZFP2 (LOC100646370), transcript variant X3, mRNA
XM_048412198.1	PREDICTED: Bombus terrestris glycerol kinase (LOC100646493), transcript variant X2, mRNA
XM_048412199.1	PREDICTED: Bombus terrestris uncharacterized LOC100644377 (LOC100644377), transcript variant X1, mRNA
XM_048412200.1	PREDICTED: Bombus terrestris peptidyl-prolyl cis-trans isomerase D (LOC100648851), transcript variant X2, mRNA
XM_048412201.1	PREDICTED: Bombus terrestris uncharacterized LOC100644377 (LOC100644377), transcript variant X2, mRNA
XM_048412202.1	PREDICTED: Bombus terrestris uncharacterized LOC100644539 (LOC100644539), transcript variant X2, mRNA
XM_048412203.1	PREDICTED: Bombus terrestris hrp65 protein (LOC100644709), transcript variant X1, mRNA
XM_048412204.1	PREDICTED: Bombus terrestris uncharacterized LOC100644497 (LOC100644497), transcript variant X3, mRNA
XM_048412205.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1-like (LOC125386345), transcript variant X1, mRNA
XM_048412206.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1-like (LOC125386345), transcript variant X2, mRNA
XM_048412207.1	PREDICTED: Bombus terrestris neuropeptides capa receptor-like (LOC125384621), mRNA
XM_048412208.1	PREDICTED: Bombus terrestris transcription factor SPT20 homolog (LOC105667057), transcript variant X1, mRNA
XM_048412209.1	PREDICTED: Bombus terrestris transcription factor SPT20 homolog (LOC105667057), transcript variant X2, mRNA
XM_048412210.1	PREDICTED: Bombus terrestris uncharacterized LOC100644861 (LOC100644861), transcript variant X2, mRNA
XM_048412211.1	PREDICTED: Bombus terrestris uncharacterized LOC100644861 (LOC100644861), transcript variant X4, mRNA
XM_048412212.1	PREDICTED: Bombus terrestris sugar transporter ERD6-like 6 (LOC100649711), transcript variant X2, mRNA
XM_048412213.1	PREDICTED: Bombus terrestris sugar transporter ERD6-like 6 (LOC100649711), transcript variant X4, mRNA
XM_048412214.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1-like (LOC100644978), transcript variant X1, mRNA
XM_048412215.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1-like (LOC100644978), transcript variant X2, mRNA
XM_048412216.1	PREDICTED: Bombus terrestris zinc finger protein 628 (LOC100643781), transcript variant X1, mRNA
XM_048412217.1	PREDICTED: Bombus terrestris zinc finger protein 628 (LOC100643781), transcript variant X3, mRNA
XM_048412218.1	PREDICTED: Bombus terrestris eEF1A lysine and N-terminal methyltransferase homolog (LOC100643907), transcript variant X4, mRNA
XM_048412219.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase ash1 (LOC100647786), transcript variant X1, mRNA
XM_048412220.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase ash1 (LOC100647786), transcript variant X2, mRNA
XM_048412221.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase ash1 (LOC100647786), transcript variant X3, mRNA
XM_048412222.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase ash1 (LOC100647786), transcript variant X4, mRNA
XM_048412223.1	PREDICTED: Bombus terrestris histone-lysine N-methyltransferase ash1 (LOC100647786), transcript variant X5, mRNA
XM_048412224.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X1, mRNA
XM_048412225.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X2, mRNA
XM_048412226.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X3, mRNA
XM_048412227.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X4, mRNA
XM_048412228.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X5, mRNA
XM_048412229.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X6, mRNA
XM_048412230.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X7, mRNA
XM_048412231.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X8, mRNA
XM_048412232.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X9, mRNA
XM_048412233.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X10, mRNA
XM_048412234.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X11, mRNA
XM_048412235.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X12, mRNA
XM_048412236.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X13, mRNA
XM_048412237.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X14, mRNA
XM_048412238.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X15, mRNA
XM_048412239.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X16, mRNA
XM_048412240.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X17, mRNA
XM_048412241.1	PREDICTED: Bombus terrestris tyrosine-protein phosphatase Lar (LOC100643094), transcript variant X18, mRNA
XM_048412242.1	PREDICTED: Bombus terrestris heterogeneous nuclear ribonucleoprotein U (LOC100648030), transcript variant X2, mRNA
XM_048412243.1	PREDICTED: Bombus terrestris uncharacterized LOC100647671 (LOC100647671), transcript variant X5, mRNA
XM_048412244.1	PREDICTED: Bombus terrestris uncharacterized LOC100647671 (LOC100647671), transcript variant X7, mRNA
XM_048412245.1	PREDICTED: Bombus terrestris uncharacterized LOC100647671 (LOC100647671), transcript variant X8, mRNA
XM_048412246.1	PREDICTED: Bombus terrestris uncharacterized LOC100648570 (LOC100648570), transcript variant X4, mRNA
XM_048412247.1	PREDICTED: Bombus terrestris uncharacterized LOC100648570 (LOC100648570), transcript variant X5, mRNA
XM_048412248.1	PREDICTED: Bombus terrestris uncharacterized LOC100648570 (LOC100648570), transcript variant X6, mRNA
XM_048412249.1	PREDICTED: Bombus terrestris uncharacterized LOC100648570 (LOC100648570), transcript variant X8, mRNA
XM_048412250.1	PREDICTED: Bombus terrestris hrp65 protein (LOC100644709), transcript variant X2, mRNA
XM_048412251.1	PREDICTED: Bombus terrestris mitochondrial cardiolipin hydrolase (LOC110119140), transcript variant X1, mRNA
XM_048412252.1	PREDICTED: Bombus terrestris mitochondrial cardiolipin hydrolase (LOC110119140), transcript variant X4, mRNA
XM_048412253.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase MARCHF6 (LOC100649825), transcript variant X2, mRNA
XM_048412254.1	PREDICTED: Bombus terrestris endothelin-converting enzyme homolog (LOC100651261), transcript variant X1, mRNA
XM_048412255.1	PREDICTED: Bombus terrestris endothelin-converting enzyme homolog (LOC100651261), transcript variant X3, mRNA
XM_048412256.1	PREDICTED: Bombus terrestris endothelin-converting enzyme homolog (LOC100651261), transcript variant X4, mRNA
XM_048412257.1	PREDICTED: Bombus terrestris endothelin-converting enzyme homolog (LOC100651261), transcript variant X5, mRNA
XM_048412258.1	PREDICTED: Bombus terrestris endothelin-converting enzyme homolog (LOC100651261), transcript variant X6, mRNA
XM_048412259.1	PREDICTED: Bombus terrestris uncharacterized LOC100643341 (LOC100643341), transcript variant X2, mRNA
XM_048412260.1	PREDICTED: Bombus terrestris sperm-associated antigen 6-like (LOC110119150), transcript variant X2, mRNA
XM_048412261.1	PREDICTED: Bombus terrestris sperm-associated antigen 6-like (LOC110119150), transcript variant X3, mRNA
XM_048412262.1	PREDICTED: Bombus terrestris sperm-associated antigen 6-like (LOC110119150), transcript variant X4, mRNA
XM_048412263.1	PREDICTED: Bombus terrestris sperm-associated antigen 6-like (LOC110119150), transcript variant X6, mRNA
XM_048412264.1	PREDICTED: Bombus terrestris sperm-associated antigen 6-like (LOC110119150), transcript variant X7, mRNA
XM_048412265.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X1, mRNA
XM_048412266.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X2, mRNA
XM_048412267.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X3, mRNA
XM_048412268.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X4, mRNA
XM_048412269.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X5, mRNA
XM_048412270.1	PREDICTED: Bombus terrestris uncharacterized LOC105666438 (LOC105666438), transcript variant X6, mRNA
XM_048412271.1	PREDICTED: Bombus terrestris sprouty-related, EVH1 domain-containing protein 1 (LOC100648084), transcript variant X1, mRNA
XM_048412272.1	PREDICTED: Bombus terrestris transcription factor Sox-10 (LOC100649351), transcript variant X3, mRNA
XM_048412273.1	PREDICTED: Bombus terrestris unconventional myosin-XV (LOC100645139), transcript variant X2, mRNA
XM_048412274.1	PREDICTED: Bombus terrestris unconventional myosin-XV (LOC100645139), transcript variant X3, mRNA
XM_048412275.1	PREDICTED: Bombus terrestris unconventional myosin-XV (LOC100645139), transcript variant X4, mRNA
XM_048412276.1	PREDICTED: Bombus terrestris unconventional myosin-XV (LOC100645139), transcript variant X5, mRNA
XM_048412277.1	PREDICTED: Bombus terrestris serine/threonine-protein kinase atr (LOC100646634), transcript variant X3, mRNA
XM_048412278.1	PREDICTED: Bombus terrestris sprouty-related, EVH1 domain-containing protein 1 (LOC100648084), transcript variant X4, mRNA
XM_048412279.1	PREDICTED: Bombus terrestris neogenin (LOC100646317), transcript variant X3, mRNA
XM_048412280.1	PREDICTED: Bombus terrestris neogenin (LOC100646317), transcript variant X4, mRNA
XM_048412281.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X1, mRNA
XM_048412282.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X2, mRNA
XM_048412283.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X3, mRNA
XM_048412284.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X4, mRNA
XM_048412285.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X5, mRNA
XM_048412286.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X6, mRNA
XM_048412287.1	PREDICTED: Bombus terrestris hrp65 protein (LOC100644709), transcript variant X3, mRNA
XM_048412288.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X8, mRNA
XM_048412289.1	PREDICTED: Bombus terrestris R3H domain-containing protein 2 (LOC100646199), transcript variant X9, mRNA
XM_048412290.1	PREDICTED: Bombus terrestris protein MMS22-like (LOC100649114), transcript variant X1, mRNA
XM_048412291.1	PREDICTED: Bombus terrestris protein MMS22-like (LOC100649114), transcript variant X2, mRNA
XM_048412292.1	PREDICTED: Bombus terrestris protein MMS22-like (LOC100649114), transcript variant X3, mRNA
XM_048412293.1	PREDICTED: Bombus terrestris mediator of RNA polymerase II transcription subunit 24 (LOC100649827), transcript variant X2, mRNA
XM_048412294.1	PREDICTED: Bombus terrestris IQ motif-containing protein H (LOC100649352), transcript variant X1, mRNA
XM_048412295.1	PREDICTED: Bombus terrestris IQ motif-containing protein H (LOC100649352), transcript variant X2, mRNA
XM_048412296.1	PREDICTED: Bombus terrestris IQ motif-containing protein H (LOC100649352), transcript variant X3, mRNA
XM_048412297.1	PREDICTED: Bombus terrestris uncharacterized LOC100647196 (LOC100647196), transcript variant X3, mRNA
XM_048412298.1	PREDICTED: Bombus terrestris QRFP-like peptide receptor (LOC100647787), transcript variant X2, mRNA
XM_048412299.1	PREDICTED: Bombus terrestris QRFP-like peptide receptor (LOC100647787), transcript variant X5, mRNA
XM_048412300.1	PREDICTED: Bombus terrestris uncharacterized LOC105666461 (LOC105666461), mRNA
XM_048412301.1	PREDICTED: Bombus terrestris QRFP-like peptide receptor (LOC100647787), transcript variant X6, mRNA
XM_048412302.1	PREDICTED: Bombus terrestris actin-like protein 6B (LOC100646436), transcript variant X2, mRNA
XM_048412303.1	PREDICTED: Bombus terrestris uncharacterized LOC125386354 (LOC125386354), mRNA
XM_048412304.1	PREDICTED: Bombus terrestris uncharacterized LOC125386355 (LOC125386355), mRNA
XM_048412305.1	PREDICTED: Bombus terrestris uncharacterized LOC105666455 (LOC105666455), mRNA
XM_048412306.1	PREDICTED: Bombus terrestris ensconsin-like (LOC125386356), mRNA
XM_048412307.1	PREDICTED: Bombus terrestris odorant receptor 13a (LOC105666451), mRNA
XM_048412308.1	PREDICTED: Bombus terrestris intraflagellar transport protein 140 homolog (LOC100645502), transcript variant X1, mRNA
XM_048412309.1	PREDICTED: Bombus terrestris nuclear autoantigenic sperm protein (LOC100649670), transcript variant X1, mRNA
XM_048412310.1	PREDICTED: Bombus terrestris uncharacterized LOC125386358 (LOC125386358), mRNA
XM_048412311.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100642739), transcript variant X3, mRNA
XM_048412312.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100642739), transcript variant X5, mRNA
XM_048412313.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100642739), transcript variant X6, mRNA
XM_048412314.1	PREDICTED: Bombus terrestris facilitated trehalose transporter Tret1 (LOC100642739), transcript variant X7, mRNA
XM_048412315.1	PREDICTED: Bombus terrestris cyclin-C (LOC100648271), transcript variant X2, mRNA
XM_048412316.1	PREDICTED: Bombus terrestris uncharacterized LOC125386362 (LOC125386362), mRNA
XM_048412317.1	PREDICTED: Bombus terrestris uncharacterized LOC100646488 (LOC100646488), transcript variant X1, mRNA
XM_048412318.1	PREDICTED: Bombus terrestris anaphase-promoting complex subunit 1 (LOC100643302), transcript variant X2, mRNA
XM_048412319.1	PREDICTED: Bombus terrestris anaphase-promoting complex subunit 1 (LOC100643302), transcript variant X3, mRNA
XM_048412320.1	PREDICTED: Bombus terrestris mannosyl-oligosaccharide glucosidase GCS1 (LOC100642977), transcript variant X2, mRNA
XM_048412321.1	PREDICTED: Bombus terrestris mannosyl-oligosaccharide glucosidase GCS1 (LOC100642977), transcript variant X3, mRNA
XM_048412322.1	PREDICTED: Bombus terrestris mannosyl-oligosaccharide glucosidase GCS1 (LOC100642977), transcript variant X4, mRNA
XM_048412323.1	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase RNF38 (LOC100651818), transcript variant X7, mRNA
XM_048412324.1	PREDICTED: Bombus terrestris cytosolic purine 5'-nucleotidase (LOC100642349), transcript variant X3, mRNA
XM_048412325.1	PREDICTED: Bombus terrestris delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (LOC100648813), transcript variant X2, mRNA
XM_048412326.1	PREDICTED: Bombus terrestris cytosolic purine 5'-nucleotidase (LOC100642349), transcript variant X13, mRNA
XM_048412327.1	PREDICTED: Bombus terrestris O-phosphoseryl-tRNA(Sec) selenium transferase (LOC100642620), transcript variant X1, mRNA
XM_048412328.1	PREDICTED: Bombus terrestris O-phosphoseryl-tRNA(Sec) selenium transferase (LOC100642620), transcript variant X3, mRNA
XM_048412329.1	PREDICTED: Bombus terrestris O-phosphoseryl-tRNA(Sec) selenium transferase (LOC100642620), transcript variant X4, mRNA
XM_048412330.1	PREDICTED: Bombus terrestris O-phosphoseryl-tRNA(Sec) selenium transferase (LOC100642620), transcript variant X5, mRNA
XM_048412331.1	PREDICTED: Bombus terrestris 4-hydroxybutyrate coenzyme A transferase (LOC100644580), transcript variant X2, mRNA
XM_048412332.1	PREDICTED: Bombus terrestris TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (LOC100644347), transcript variant X2, mRNA
XM_048412333.1	PREDICTED: Bombus terrestris actin-related protein 1 (LOC100642740), transcript variant X2, mRNA
XM_048412334.1	PREDICTED: Bombus terrestris organic cation transporter protein (LOC100648228), transcript variant X1, mRNA
XM_048412335.1	PREDICTED: Bombus terrestris organic cation transporter protein (LOC100648228), transcript variant X2, mRNA
XM_048412336.1	PREDICTED: Bombus terrestris dynein regulatory complex protein 8 (LOC100652221), transcript variant X2, mRNA
XM_048412337.1	PREDICTED: Bombus terrestris protein neuralized (LOC100646726), transcript variant X4, mRNA
XM_048412338.1	PREDICTED: Bombus terrestris dynein regulatory complex protein 8 (LOC100652221), transcript variant X3, mRNA
XM_048412339.1	PREDICTED: Bombus terrestris poly(rC)-binding protein 3 (LOC100647823), transcript variant X4, mRNA
XM_048412340.1	PREDICTED: Bombus terrestris poly(rC)-binding protein 3 (LOC100647823), transcript variant X5, mRNA
XM_048412341.1	PREDICTED: Bombus terrestris uncharacterized LOC100646846 (LOC100646846), transcript variant X2, mRNA
XM_048412342.1	PREDICTED: Bombus terrestris uncharacterized LOC105666570 (LOC105666570), mRNA
XM_048412343.1	PREDICTED: Bombus terrestris uncharacterized LOC100649900 (LOC100649900), mRNA
XM_048412344.1	PREDICTED: Bombus terrestris uncharacterized LOC105666598 (LOC105666598), mRNA
XM_048412345.1	PREDICTED: Bombus terrestris ATP-binding cassette sub-family A member 13 (LOC100650392), transcript variant X1, mRNA
XM_048412346.1	PREDICTED: Bombus terrestris uncharacterized protein KIAA2026 (LOC100650461), transcript variant X1, mRNA
XM_048412347.1	PREDICTED: Bombus terrestris transferrin (LOC100652058), transcript variant X2, mRNA
XM_048412348.1	PREDICTED: Bombus terrestris transferrin (LOC100652058), transcript variant X4, mRNA
XM_048412349.1	PREDICTED: Bombus terrestris pickpocket protein 28 (LOC100650580), transcript variant X2, mRNA
XM_048412350.1	PREDICTED: Bombus terrestris ATP-binding cassette sub-family A member 13 (LOC100650392), transcript variant X3, mRNA
XM_048412351.1	PREDICTED: Bombus terrestris ATP-binding cassette sub-family A member 13 (LOC100650392), transcript variant X4, mRNA
XM_048412352.1	PREDICTED: Bombus terrestris major facilitator superfamily domain-containing protein 6 (LOC100652175), transcript variant X5, mRNA
XM_048412353.1	PREDICTED: Bombus terrestris tryptophan 2,3-dioxygenase (LOC100650592), transcript variant X1, mRNA
XM_048412354.1	PREDICTED: Bombus terrestris S-adenosylmethionine mitochondrial carrier protein (LOC100651266), transcript variant X1, mRNA
XM_048412355.1	PREDICTED: Bombus terrestris S-adenosylmethionine mitochondrial carrier protein (LOC100651266), transcript variant X2, mRNA
XM_048412356.1	PREDICTED: Bombus terrestris uncharacterized LOC100650703 (LOC100650703), transcript variant X3, mRNA
XM_048412357.1	PREDICTED: Bombus terrestris tryptophan 2,3-dioxygenase (LOC100650592), transcript variant X2, mRNA
XM_048412358.1	PREDICTED: Bombus terrestris ras-related protein Rab-24 (LOC100651387), transcript variant X2, mRNA
XM_048412359.1	PREDICTED: Bombus terrestris FHF complex subunit HOOK interacting protein 2A (LOC100643988), transcript variant X3, mRNA
XM_048412360.1	PREDICTED: Bombus terrestris hexokinase type 2 (LOC100644228), transcript variant X4, mRNA
